question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55+,18-20,21-24,U35,35+,U45,45+,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55+,M 18-20,M 21-24,M U35,M 35+,M U45,M 45+,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55+,F 18-20,F 21-24,F U35,F 35+,F U45,F 45+,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust news in search engines most of the time,Strongly disagree,286,177,109,286,26,58,53,34,116,10,16,83,203,136,150,59,56,286,19,34,36,22,66,8,11,53,124,89,88,38,28,7,23,17,12,50,2,5,30,79,47,62,21,29,286,7,,8,2,33,7,2,,,23,9,,7,5,3,4,3,9,,,5,3,3,7,,7,2,1,3,2,11,4,14,5,,9,3,1,19,3,4,1,1,31,3,,6,7,2,9,,286,54,51,105,75,286,13,8,10,16,16,15,9,12,16,7,18,6,7,16,25,25,15,9,45,286,90,91,105,267,74,90,104,286,93,68,125,286,50,236
Trust news in search engines most of the time,Tend to disagree,553,281,272,553,62,86,99,73,234,29,34,148,405,247,307,130,104,553,33,47,53,35,113,15,18,80,201,133,149,59,54,29,39,46,37,121,14,15,68,204,114,158,71,50,553,5,,12,8,68,10,4,2,4,41,17,,6,19,11,8,3,16,4,2,7,7,17,8,5,10,3,3,5,2,8,3,38,12,,19,6,8,28,2,6,2,13,45,3,1,24,13,4,10,1,553,93,108,219,133,553,18,23,28,24,29,24,23,30,28,30,33,21,29,27,35,53,14,15,68,553,136,212,206,537,141,162,234,553,189,133,231,553,81,472
Trust news in search engines most of the time,Neither agree nor disagree,935,407,528,935,103,175,173,126,358,38,66,278,656,451,484,193,165,935,46,59,83,65,154,15,31,105,302,188,219,91,63,57,116,90,61,204,22,34,173,355,264,265,102,102,935,20,6,31,3,94,28,11,2,6,72,27,,5,39,22,10,8,14,14,6,18,23,29,7,5,14,7,4,15,7,20,1,52,22,2,35,10,15,50,5,12,1,19,68,11,2,21,14,4,19,3,935,175,190,338,231,935,45,25,41,49,49,54,47,35,31,36,56,25,45,59,54,64,38,50,131,935,201,309,425,842,228,273,341,935,256,195,483,935,109,826
Trust news in search engines most of the time,Tend to agree,533,276,257,533,73,96,100,83,181,24,49,169,364,269,264,105,76,533,45,45,53,45,88,17,28,90,186,143,133,50,38,28,51,47,39,93,7,21,79,178,125,132,55,38,533,12,,15,6,61,9,5,3,6,38,11,2,2,26,13,3,6,9,2,,11,7,19,11,,12,2,2,3,2,17,4,44,20,1,23,1,9,20,,11,,10,36,3,1,13,10,1,15,,533,95,132,188,119,533,21,16,29,25,39,31,27,22,14,24,28,14,29,32,44,46,36,12,43,533,155,212,166,514,169,122,223,533,188,112,233,533,81,452
Trust news in search engines most of the time,Strongly agree,92,51,40,92,10,33,18,17,13,5,5,43,48,61,30,6,7,92,4,14,13,12,8,3,1,18,33,31,20,5,3,6,19,5,5,5,3,4,25,15,30,10,1,4,92,1,2,2,1,8,3,,,,3,2,,,2,1,,,1,2,,1,1,3,3,4,4,,,2,,3,1,12,,,7,,1,10,,,,1,9,,,3,,,,,92,26,20,27,19,92,9,4,4,8,2,6,3,5,2,1,4,3,2,3,6,5,7,8,11,92,42,18,32,78,15,20,42,92,44,21,27,92,18,74
Trust news in search engines most of the time,Agree,625,327,298,625,83,129,118,101,194,30,53,212,413,330,295,111,83,625,49,59,66,57,96,20,29,108,219,174,153,55,41,34,70,51,44,98,10,25,104,194,156,142,56,42,625,13,2,17,6,70,12,5,3,6,41,13,2,2,28,14,3,6,10,4,,11,8,22,14,4,17,2,2,5,2,20,5,56,20,1,30,1,10,30,,11,,11,44,3,1,16,10,1,15,,625,121,152,215,137,625,30,20,32,33,41,36,30,27,16,25,32,18,31,36,50,51,43,19,54,625,197,230,198,592,184,142,265,625,232,133,260,625,99,526
Trust news in search engines most of the time,Disagree,839,458,381,839,88,143,151,107,350,38,49,231,608,383,456,190,160,839,52,81,89,57,179,23,29,133,325,222,236,98,82,36,62,63,50,170,16,20,98,283,161,220,92,79,839,12,,20,9,101,17,6,2,4,64,26,,13,24,14,12,6,25,4,2,11,10,19,15,5,17,5,3,8,4,19,8,52,16,,29,9,9,47,5,11,3,14,76,6,1,30,20,6,19,1,839,147,160,324,208,839,31,31,38,40,46,40,32,42,44,36,51,27,36,43,60,79,29,24,112,839,226,303,310,804,215,252,337,839,282,201,356,839,131,708
Trust in Brands (6-10),Fox News,1035,519,515,1035,108,168,178,154,427,51,57,276,759,454,581,212,215,1035,60,76,95,80,209,29,30,135,384,230,289,107,102,48,92,83,74,218,22,26,140,375,223,292,106,112,1035,21,2,32,10,102,25,8,6,4,88,28,1,8,36,20,7,7,24,10,5,20,12,22,15,9,30,5,1,10,4,30,6,74,32,,40,7,14,51,2,14,2,22,86,8,2,30,13,5,25,,1035,187,207,415,226,1035,45,36,56,48,58,49,43,54,38,39,65,33,55,57,78,85,50,31,116,1035,266,406,363,992,199,365,428,1035,366,238,431,1035,134,901
Trust in Brands (6-10),CNN,1215,592,623,1215,146,227,242,176,424,61,85,373,842,615,600,244,180,1215,76,105,121,97,194,33,43,181,412,301,291,117,77,71,122,121,79,230,29,42,192,430,314,309,127,103,1215,24,1,25,7,145,32,12,3,10,76,36,2,5,49,26,12,6,20,10,1,22,23,45,24,8,25,7,6,7,4,32,7,98,33,2,56,10,23,64,4,19,1,16,84,12,2,30,20,3,23,2,1215,240,275,412,288,1215,59,47,62,58,68,57,58,51,42,54,72,33,52,79,97,91,68,52,113,1215,375,449,391,1177,367,324,486,1215,428,289,498,1215,192,1023
Trust in Brands (6-10),NBC/MSNBC News,1240,601,639,1240,135,222,236,184,464,49,86,357,884,593,648,269,195,1240,72,110,114,96,210,28,44,181,420,295,306,125,84,63,112,122,88,254,21,42,175,464,297,342,143,111,1240,23,,28,6,146,30,13,2,9,77,35,1,7,51,29,12,10,25,10,,25,21,47,21,10,23,7,5,7,5,34,7,98,29,2,56,12,22,70,4,19,2,20,87,7,2,33,24,3,26,2,1240,245,283,425,287,1240,51,44,64,64,68,69,61,54,42,57,77,37,59,77,93,99,63,50,111,1240,375,474,392,1200,358,336,505,1240,430,285,525,1240,191,1049
